ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2488382-20160831,2488382,409626,1,"REINA JEWELRY DESIGN AND DIAMOND INC.,","REINA JEWELRY DESIGN AND DIAMOND INC.,",5 S WABASH AVE 12TH 1201,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,923,Retail Sales of Jewelry and Jewelry Repair,2488382,ISSUE,8/31/2016,8/31/2016,8/31/2016,N,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.88192156,-87.62606306,"(41.88192156256051, -87.62606305984501)"
1496118-20160916,2479557,278618,1,Image Fiction Inc.,Image Fiction,221 N LA SALLE ST  1510,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,1496118,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.88630857,-87.63231876,"(41.886308567767294, -87.63231875970524)"
1888980-20160516,2454132,61178,3,NORTHERN BUILDERS INC,"NORTHERN BUILDERS, INC.",5060  RIVER RD 1 1,SCHILLER PARK,IL,60176,,,,,1010,Limited Business License,,,1888980,RENEW,,3/15/2016,4/6/2016,N,5/16/2016,5/15/2018,4/6/2016,4/7/2016,AAI,,,,,
2246817-20160916,2477672,12322,39,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas (Illinois), L.P.",111 S WACKER DR 29 2950,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2246817,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.8803341,-87.63658024,"(41.88033409920658, -87.63658023772034)"
1334062-20160516,2454098,57114,3,REMODELING BY THE TIN MAN INC,REMODELING BY THE TIN MAN INC,8331 N KOSTNER AVE,SKOKIE,IL,60076,,,,,1010,Limited Business License,,,1334062,RENEW,,3/15/2016,4/2/2016,N,5/16/2016,5/15/2018,4/2/2016,4/4/2016,AAI,,,,,
1302675-20160216,2438379,5691,2,THE QUARASAN GROUP INC,THE QUARASAN GROUP INC,405 W SUPERIOR ST,CHICAGO,IL,60610,42,68,42-68,18,1010,Limited Business License,,,1302675,RENEW,,12/15/2015,4/6/2016,N,2/16/2016,2/15/2018,4/6/2016,4/7/2016,AAI,,,41.89542214,-87.63879321,"(41.895422138635716, -87.63879320801375)"
10291-20160516,2453758,26373,1,SID'S DISCOUNT CLOTHING & UNIVERSITY SHOPPE INC,SID'S CLOTHING AND HAT STORE INC.,609 W ROOSEVELT RD  1,CHICAGO,IL,60607,11,28,28-Nov,1,1010,Limited Business License,,,10291,RENEW,,3/15/2016,4/6/2016,N,5/16/2016,5/15/2018,4/6/2016,4/7/2016,AAI,,,41.86710482,-87.64255346,"(41.86710481787317, -87.64255346308198)"
1742021-20160916,2480060,308446,1,"SRJ ENTERPRISES, INC.",7-ELEVEN,318 W ADAMS ST 1 1A,CHICAGO,IL,60606,42,12,42-12,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1742021,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.8794728,-87.63580748,"(41.87947279717996, -87.63580748102805)"
2204376-20160816,2471305,16414,3,East Park Apartments,EAST PARK APARTMENTS,3300 W MAYPOLE AVE  1ST,CHICAGO,IL,60624,28,20,28-20,11,4404,Regulated Business License,809,Single Room Occupancy Building,2204376,RENEW,,6/15/2016,6/29/2016,N,8/16/2016,8/15/2018,8/31/2016,8/31/2016,AAI,,,41.88369802,-87.7089025,"(41.88369802211018, -87.70890250016994)"
2129020-20160216,2439815,291543,2,"CORE 12, LLC",CORE TWELVE,600 W VAN BUREN ST 10TH 1010,CHICAGO,IL,60607,42,12,42-12,1,1010,Limited Business License,,,2129020,RENEW,,12/15/2015,1/15/2016,N,2/16/2016,2/15/2018,1/15/2016,4/7/2016,AAI,,,41.87684171,-87.64257341,"(41.87684171027662, -87.64257341005437)"
1975176-20161016,2486207,344073,1,"ROXANNE FOOD MART, INC.","ROXANNE FOOD MART, INC.",5601 S HALSTED ST 1,CHICAGO,IL,60621,20,48,20-48,7,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1975176,RENEW,,8/15/2016,8/29/2016,N,10/16/2016,10/15/2018,8/29/2016,8/31/2016,AAI,,,41.79248265,-87.64496591,"(41.792482647024215, -87.6449659047179)"
1766479-20160516,2454970,273942,2,ANDRZEJ TYLKA,ANDYS TYLKA CONSTRUCTION,8109 S RUTHERFORD,BURBANK,IL,60459,,,,,1010,Limited Business License,,,1766479,RENEW,,3/15/2016,4/1/2016,N,5/16/2016,5/15/2018,4/1/2016,4/4/2016,AAI,,,,,
1649568-20160916,2479845,298858,1,THOMAS I. YI,"HOUND DOG, BURGER & TERIYAKI  RESTAURANT",2257 W GRAND AVE,CHICAGO,IL,60612,26,32,26-32,12,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1649568,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.89059496,-87.68404797,"(41.89059496364399, -87.68404796959847)"
1594577-20160916,2477705,13030,3,KENNEDY- WILSON PROPERTIES LTD.,KENNEDY WILSON PROPERTIES,150 S WACKER DR  1250,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,,,1594577,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87941085,-87.63710396,"(41.8794108457744, -87.63710395748413)"
2214045-20161016,2484802,31227,2,"RUNGE'S AUTO & TIRE, LIMITED.",RUNGE'S AUTO & TIRE,7478 N ROGERS AVE,CHICAGO,IL,60626,49,5,49-5,24,8340,Motor Vehicle Services License,711,Motor Vehicle Repair - Engine and Body Work,2214045,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,19,42.01770121,-87.6720115,"(42.01770121035835, -87.6720115010643)"
1817141-20160916,2480438,315987,1,"HARBOR CAPITAL ADVISORS, INC.",HARBOR CAPITAL ADVISORS,111 S WACKER DR 34,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,,,1817141,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.8803341,-87.63658024,"(41.88033409920658, -87.63658023772034)"
22951-20161016,2484521,9391,1,LUFRAN INC,PEPE'S MEXICAN RESTAURANT,131 E 79TH ST,CHICAGO,IL,60619,6,53,Jun-53,6,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,22951,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.7509211,-87.61993682,"(41.75092109529809, -87.61993681854683)"
2428454-20160916,2477688,12322,55,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",901 W DIVISION ST N/A,CHICAGO,IL,60642,27,,27-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2428454,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.90349328,-87.65106447,"(41.90349328136529, -87.6510644659516)"
2437927-20160916,2477691,12322,58,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc.",125 S WACKER DR  210,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,708,Miscellaneous Commercial Services,2437927,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88001343,-87.63657239,"(41.88001342713154, -87.63657238450709)"
1122760-20160916,2478369,61652,2,GRAPHIC IMAGE CORP,GRAPHIC  IMAGE  CORPORATION,2035 W GRAND AVE,CHICAGO,IL,60612,26,35,26-35,12,1010,Limited Business License,668,Graphic Design and Consultation,1122760,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.89069039,-87.67831665,"(41.890690388122756, -87.67831665322235)"
2026654-20160416,2449982,351765,1,"WINDY CITY ROOTER, INC.","WINDY CITY ROOTER, INC.",235 E DEPOT ST,ANTIOCH,IL,60002,,,,,1010,Limited Business License,,,2026654,RENEW,,2/15/2016,4/1/2016,N,4/16/2016,4/15/2018,4/1/2016,4/4/2016,AAI,,,,,
2313922-20160916,2477679,12322,46,"JONES LANG LASALLE AMERICAS, INC.",Jones Lang LaSalle Americas (Illinois) LP,600 W CHICAGO AVE 5,CHICAGO,IL,60654,27,12,27-12,18,1010,Limited Business License,708,Miscellaneous Commercial Services,2313922,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.89658519,-87.64299618,"(41.896585191199556, -87.64299618172501)"
1592278-20160316,2444829,289662,1,"UNIVERSAL C&M SERVICE, INC.","UNIVERSAL C&M SERVICE , INC.",3857 W 155TH ST,MARKHAM,IL,60428,,,,,1010,Limited Business License,,,1592278,RENEW,,1/15/2016,3/23/2016,N,3/16/2016,3/15/2018,3/23/2016,3/24/2016,AAI,,,,,
2298597-20160916,2477676,12322,43,"JONES LANG LASALLE AMERICAS, INC.",Jones Lang LaSalle Americas (Illinois) LP,10 S RIVERSIDE PLZ 8 850,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,708,Miscellaneous Commercial Services,2298597,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88166429,-87.63888744,"(41.881664289382925, -87.63888744408949)"
2179784-20160916,2478940,219897,5,"Cogent Communications, Inc.","Cogent Communications, Inc.",427 S LA SALLE ST  275,CHICAGO,IL,60605,4,49,Apr-49,1,1010,Limited Business License,,,2179784,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87621601,-87.63160214,"(41.87621600724368, -87.6316021355216)"
2428456-20160916,2477689,12322,56,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",120 N RACINE AVE N/A,CHICAGO,IL,60607,27,,27-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2428456,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88361159,-87.65684316,"(41.88361158918275, -87.65684315761544)"
2146932-20160516,2456310,370903,1,Wall Products Inc.,Tankless Technology,245 W ROOSEVELT RD  9-66,WEST CHICAGO,IL,60185,,,,,1010,Limited Business License,,,2146932,RENEW,,3/15/2016,4/6/2016,N,5/16/2016,5/15/2018,4/6/2016,4/7/2016,AAI,,,41.86720807,-87.63427567,"(41.86720806765021, -87.6342756701726)"
1931944-20161016,2486102,336934,1,CONSTRUCTION CLEANING COMPANY,CONSTRUCTION CLEANING COMPANY,1353 W GRAND AVE,CHICAGO,IL,60642,1,18,18-Jan,12,1010,Limited Business License,,,1931944,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.89093002,-87.66114726,"(41.89093001934072, -87.6611472644946)"
2359437-20161016,2484889,41146,3,J C DENTAL LABORATORY INC,J C DENTAL LABORATORY,5706 N WESTERN AVE 1,CHICAGO,IL,60659,40,25,40-25,20,1010,Limited Business License,228,Medical Laboratories,2359437,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.98524775,-87.68964805,"(41.98524775218257, -87.68964804578354)"
1998937-20160916,2478528,64452,4,"NOMURA SECURITIES INTERNATIONAL, INC.","NOMURA SECURITIES INTERNATIONAL, INC.",1 N WACKER DR 40TH,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,1998937,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88195188,-87.63662035,"(41.88195187648601, -87.63662034940238)"
2216827-20160916,2477551,7072,1,"JAHN ARCHITECTURE, INC.","JAHN ARCHITECTURE, INC.",35 E WACKER DR,CHICAGO,IL,60601,42,9,42-9,1,4404,Regulated Business License,816,Storage or Use of Hazardous Materials,2216827,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,1,41.88683151,-87.62655609,"(41.886831512316874, -87.62655608493642)"
1998528-20160916,2481120,341120,2,"NOMURA AMERICA SERVICES, LLC","NOMURA AMERICA SERVICES, LLC",1 N WACKER DR 40TH,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,1998528,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88195188,-87.63662035,"(41.88195187648601, -87.63662034940238)"
1980323-20160116,2436335,345043,1,"Medcor, Inc.","Medcor, Inc.",1400 W 35TH ST 1,CHICAGO,IL,60609,12,,12-,,1010,Limited Business License,,,1980323,RENEW,,11/15/2015,8/30/2016,N,1/16/2016,1/15/2018,8/30/2016,8/31/2016,AAI,,13,41.83066932,-87.66078914,"(41.830669321974916, -87.66078914042615)"
1939053-20160916,2481083,338803,1,GRAND STREET ACQUISITION LLC,Christy Webber Farm & Garden Center,2200 W GRAND AVE 1,CHICAGO,IL,60612,26,32,26-32,12,1010,Limited Business License,,,1939053,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.89085039,-87.68192939,"(41.890850393536645, -87.68192938676242)"
1841328-20160916,2480535,319733,1,WILSHIRE ASSOCIATES INCORPORATED,WILSHIRE ASSOCIATES INCORPORATED,222 W ADAMS ST  2350,CHICAGO,IL,60606,42,49,42-49,1,1010,Limited Business License,,,1841328,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87948775,-87.63444223,"(41.879487753534356, -87.63444222788623)"
17220-20160516,2453785,28261,1,HOLLWAY MEYER'S INC,HOLLAWAY MEYER'S INC,950  165TH ST  1,HAMMOND,IN,46324,,,,,1010,Limited Business License,,,17220,RENEW,,3/15/2016,4/1/2016,N,5/16/2016,5/15/2018,4/1/2016,4/4/2016,AAI,,,,,
2083499-20160916,2478197,37300,2,TELLURIDE GROUP INC,"TELLURIDE GROUP, INC.",141 W JACKSON BLVD 20TH 2030,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,2083499,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.87802566,-87.63206229,"(41.878025655260835, -87.63206228626693)"
1000894-20161016,2485206,201182,1,"Food For Thought Cafe at the Adler, Ltd.",Galileo's,1300 S LAKE SHORE DR,CHICAGO,IL,60605,4,,4-,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1000894,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.86573231,-87.61966864,"(41.865732312266495, -87.61966863731983)"
2027320-20160416,2449993,352104,1,ALTHEA T. MOTLEY,HEALTHEA HEALTH EDUCATION,18101  SAN DIEGO AVE,HOMEWOOD,IL,60430,,,,,1010,Limited Business License,,,2027320,RENEW,,2/15/2016,4/4/2016,N,4/16/2016,4/15/2018,4/4/2016,4/5/2016,AAI,,,,,
36937-20160516,2453853,33253,1,"EASTBANK STORAGE CO., INC.",East Bank Storage - Ohio & Kingsbury,429 W OHIO ST,CHICAGO,IL,60610,42,14,42-14,18,1010,Limited Business License,,,36937,RENEW,,3/15/2016,4/7/2016,N,5/16/2016,5/15/2018,4/7/2016,4/8/2016,AAI,,,41.89220043,-87.63978355,"(41.89220042910427, -87.63978355191999)"
1816462-20161016,2485905,315619,1,SUM MUSIC LLC,FLATTES AND SHARPE,6749 N SHERIDAN RD 1ST,CHICAGO,IL,60626,49,7,49-7,24,1010,Limited Business License,,,1816462,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,54,42.00496486,-87.6607206,"(42.004964854516, -87.66072059829497)"
1970111-20161016,2486198,343364,1,"MINA 4 ENTERPRISE GROUP INC.,",7-ELEVEN #33496C,535 S STATE ST 1ST,CHICAGO,IL,60605,4,49,Apr-49,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1970111,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.87501057,-87.62747463,"(41.87501057316559, -87.627474631035)"
2147823-20160416,2448413,68330,4,"HEY AND ASSOCIATES, INC","HEY AND ASSOCIATES, INC.",8755 W HIGGINS RD 8TH 835,CHICAGO,IL,60631,41,28,41-28,16,1010,Limited Business License,,,2147823,RENEW,,2/15/2016,4/8/2016,N,4/16/2016,4/15/2018,4/8/2016,4/8/2016,AAI,,,41.98752558,-87.84508015,"(41.98752558222729, -87.84508014948597)"
1617108-20160516,2455230,293466,1,"J & S  PLUMBING, INC",J & S PLUMBING,370  BOND ST,ELK GROVE,IL,60007,,,,,1010,Limited Business License,,,1617108,RENEW,,3/15/2016,4/7/2016,N,5/16/2016,5/15/2018,4/7/2016,4/8/2016,AAI,,,,,
1898337-20160416,2449758,329634,1,"ENVIROCONTROL SYSTEMS DESIGN, INC.","ENVIROCONTROL SYSTEMS DESIGN, INC.",3512  PRESTWICK LN,NORTHBROOK,IL,60062,,,,,1010,Limited Business License,,,1898337,RENEW,,2/15/2016,4/4/2016,N,4/16/2016,4/15/2018,4/4/2016,4/5/2016,AAI,,,,,
1475787-20160116,2435732,272874,1,A & A WRECKING AND FOUNDATION INC,A &A WRECKING AND FOUNDATION INC,5901 W 66TH ST,BEDFORD PARK,IL,60638,,,,,1010,Limited Business License,,,1475787,RENEW,,11/15/2015,4/7/2016,N,1/16/2016,1/15/2018,4/7/2016,4/8/2016,AAI,,,,,
2488357-20160831,2488357,409576,1,"Revive Skin Care & MedSpa, LLC","Revive Skin Care & MedSpa, LLC",4860 N CLARK ST  1S,CHICAGO,IL,60640,47,,47-,,1010,Limited Business License,904 | 896,Retail Sales of General Merchandise | Skincare Services,2488357,ISSUE,8/30/2016,8/30/2016,8/30/2016,N,8/31/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,31,41.97067912,-87.66784941,"(41.970679117200376, -87.6678494054853)"
2458262-20160831,2458262,405207,1,BACCI PIZZA LITTLE ITALY INC.,BACCI PIZZA,1421 W TAYLOR ST 1ST,CHICAGO,IL,60607,28,38,28-38,12,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2458262,ISSUE,4/4/2016,8/29/2016,7/25/2016,N,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.86921678,-87.66249389,"(41.86921677973378, -87.66249389074504)"
1070107-20160416,2448526,204087,1,NATALIA ARACELI URIBE,IDEAL DRIVING SCHOOL,4215 W NORTH AVE,CHICAGO,IL,60639,26,18,26-18,25,1010,Limited Business License,,,1070107,RENEW,,2/15/2016,4/7/2016,N,4/16/2016,4/15/2018,4/7/2016,4/8/2016,AAI,,,41.90969916,-87.73204885,"(41.909699156471405, -87.7320488450781)"
2146347-20160416,2450324,370581,1,"Scott Labroratory Solutions, LLC","Scott Laboratory Solutions, LLC",7214  BALL CAMP PIKE,KNOXVILLE,TN,37931,,,,,1010,Limited Business License,,,2146347,RENEW,,2/15/2016,4/4/2016,N,4/16/2016,4/15/2018,4/4/2016,4/5/2016,AAI,,,,,
1821885-20161016,2485921,317868,1,"LOYOLA FOOD MART, INC.","LOYOLA FOOD  MART, INC.",1200 W LOYOLA AVE 1ST,CHICAGO,IL,60626,49,32,49-32,24,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1821885,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,54,42.00072012,-87.66065603,"(42.000720124073766, -87.66065603221865)"
2418735-20160916,2477686,12322,53,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",224 S MICHIGAN AVE THIRD 320,CHICAGO,IL,60604,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2418735,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87893738,-87.62448327,"(41.878937382427736, -87.62448327326041)"
1495390-20160416,2449125,278253,1,"MITSUBISHI ELECTRIC US, INC.","MITSUBISHI ELECTRIC & ELECTRONICS USA, INC.",5218 S DANSHER RD,COUNTRY SIDE,IL,60525,,,,,1010,Limited Business License,,,1495390,RENEW,,2/15/2016,4/4/2016,N,4/16/2016,4/15/2018,4/4/2016,4/5/2016,AAI,,,,,
1145312-20160416,2448404,66367,1,"SEDGWICK CLAIMS MANAGEMENT SERVICES, INC.","SEDGWICK CLAIMS MANAGEMENT SERVICES, INC.",175 W JACKSON BLVD 700 #,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,1145312,RENEW,,2/15/2016,3/21/2016,N,4/16/2016,4/15/2018,3/21/2016,4/8/2016,AAI,,,41.87801449,-87.63318903,"(41.878014487249544, -87.63318903001444)"
1575887-20160516,2454476,204267,3,HAYWARD BAKER INC.,"HAYWARD BAKER, INC.",1350 W LAKE ST,ROSELLE,IL,60172,,,,,1010,Limited Business License,,,1575887,RENEW,,3/15/2016,4/7/2016,N,5/16/2016,5/15/2018,4/7/2016,4/8/2016,AAI,,,41.88555623,-87.66067508,"(41.88555622749649, -87.66067507804014)"
2108369-20160416,2448405,66367,3,"SEDGWICK CLAIMS MANAGEMENT SERVICES, INC.","SEDGWICK CLAIMS MANAGEMENT SERVICES, INC.",8755 W HIGGINS RD 11TH 1100,CHICAGO,IL,60631,41,28,41-28,16,1010,Limited Business License,,,2108369,RENEW,,2/15/2016,3/21/2016,N,4/16/2016,4/15/2018,3/21/2016,4/8/2016,AAI,,,41.98752558,-87.84508015,"(41.98752558222729, -87.84508014948597)"
2354303-20161016,2486999,392994,1,"CANALU, LLC",DINOTTO PIZZERIA (CATERING),1551 N WELLS ST 1,CHICAGO,IL,60610,27,54,27-54,18,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2354303,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,48,41.91062675,-87.63454716,"(41.91062675138243, -87.63454715819464)"
73897-20160516,2454134,62127,1,"TRI-STATE DRILLING, INC.","TRI-STATE DRILLING, INC.",16940  HIGHWAY 55 WEST  1ST,PLYMOUTH,MN,55446,,,,,1010,Limited Business License,,,73897,RENEW,,3/15/2016,4/7/2016,N,5/16/2016,5/15/2018,4/7/2016,4/8/2016,AAI,,,,,
2215244-20161016,2486434,356608,2,D. & GU WHEELS INC.,D. & GU WHEELS INC.,8146 S COTTAGE GROVE AVE 1ST,CHICAGO,IL,60619,8,34,Aug-34,6,8340,Motor Vehicle Services License,713 | 779,"Motor Vehicle Repair - No Engine and No Body | Sale and Storage of Tires, 100 - 1000",2215244,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,8/31/2016,AAI,,51,41.74622788,-87.60524303,"(41.74622788224334, -87.60524303022015)"
2289006-20160916,2477674,12322,41,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas (Illinois), L.P.",180 N STETSON AVE 21 2175,CHICAGO,IL,60601,42,,42-,,4404,Regulated Business License,757,Residential Real Estate Developer (Home Occ),2289006,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88536782,-87.6224472,"(41.885367821459624, -87.62244720125689)"
1870247-20160516,2455149,284713,2,"CHINA MEDICINE, INC.",FERTILITY ACUPUNCTURE CENTERS,333 N MICHIGAN AVE 12TH 1212,CHICAGO,IL,60601,42,44,42-44,1,1010,Limited Business License,,,1870247,RENEW,,3/15/2016,4/7/2016,N,5/16/2016,5/15/2018,4/7/2016,4/8/2016,AAI,,,41.88754294,-87.624407,"(41.88754294139151, -87.62440700245574)"
20408-20160416,2447944,29066,1,"UNIQUE INDOOR COMFORT,INC","UNIQUE INDOOR COMFORT,INC",653 S VERMONT   1ST,PALATINE,IL,60067,,,,,1010,Limited Business License,,,20408,RENEW,,2/15/2016,4/7/2016,N,4/16/2016,4/15/2018,4/7/2016,4/8/2016,AAI,,,41.66265404,-87.63858633,"(41.66265404402734, -87.63858632944415)"
2303665-20160916,2477677,12322,44,"JONES LANG LASALLE AMERICAS, INC.",Jones Lang LaSalle Americas (Illinois) LP,1 N FRANKLIN ST 9 960,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2303665,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88196747,-87.63516544,"(41.881967467024346, -87.6351654428475)"
19544-20160516,2453400,7955,2,RUSH MECHANICAL CONTRACTORS,RUSH MECHANICAL CONTRACTORS,15806  ANNICO DR,HOMER GLEN,IL,60491,,,,,1010,Limited Business License,,,19544,RENEW,,3/15/2016,4/7/2016,N,5/16/2016,5/15/2018,4/7/2016,4/8/2016,AAI,,,,,
2152464-20160516,2456401,371715,1,"FOX MOVERS, INC.","FOX MOVERS, INC.",4143-4153 W KINZIE ST,CHICAGO,IL,60624,28,24,28-24,11,1010,Limited Business License,,,2152464,RENEW,,3/15/2016,4/7/2016,N,5/16/2016,5/15/2018,4/7/2016,4/8/2016,AAI,,,41.88762495,-87.73004788,"(41.88762495064055, -87.73004787652839)"
2206991-20161016,2485745,299882,1,ROSE T COLELLA,LOLA BARD PRODUCTIONS,6631 N GLENWOOD AVE,CHICAGO,IL,60626,49,13,49-13,24,4404,Regulated Business License,724,Other Home Occupations,2206991,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,54,42.00283075,-87.66550994,"(42.00283074855277, -87.66550993764594)"
2422949-20160916,2477687,12322,54,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",567 W LAKE ST 2,CHICAGO,IL,60661,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2422949,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88559429,-87.642526,"(41.88559428960742, -87.64252600441937)"
2464259-20160831,2464259,406031,1,"GO! GROCER PINE GROVE, INC.",GO! GROCER,3930 N PINE GROVE AVE 1 C-2,CHICAGO,IL,60613,46,15,46-15,19,1006,Retail Food Establishment,767 | 775,Retail Sales of General Merchandise and Non-Perishable Food | Retail Sales of Perishable Foods,2464259,ISSUE,4/29/2016,6/28/2016,6/28/2016,N,8/31/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,18,41.95377406,-87.64806068,"(41.953774064116395, -87.64806067621346)"
